City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,mar del plata,-38.0023,-57.5575,31.02,37,0,6.17,AR,1675632042
132,saint-philippe,-21.3585,55.7679,25.77,86,100,5.01,RE,1675632027
133,baoqing,46.3317,132.2111,-23.71,99,57,1.68,CN,1675632279
134,gunjur,13.2019,-16.7339,21.04,60,0,4.63,GM,1675632280
135,itoman,26.1247,127.6694,19.01,96,75,5.66,JP,1675632281
136,tuatapere,-46.1333,167.6833,14.58,91,86,5.75,NZ,1675632281
137,uda,44.9167,24.5667,-8.22,79,8,2.39,RO,1675632282
138,hamilton,39.1834,-84.5333,11.35,57,100,3.13,US,1675631596
139,cayenne,4.9333,-52.3333,22.02,100,75,1.54,GF,1675632283
140,camacupa,-12.0167,17.4833,15.67,92,100,1.4,AO,1675632285
141,kodiak,57.79,-152.4072,3.73,100,100,7.72,US,1675632104
142,chicama,-7.8447,-79.1469,26.3,55,39,4.97,PE,1675632286
143,beachwood,41.4645,-81.5087,7.44,65,100,4.12,US,1675632056
144,katangli,51.7102,143.2326,-19.89,96,98,3.52,RU,1675632287
145,east london,-33.0153,27.9116,24.09,87,24,1.72,ZA,1675632281
146,pangody,65.85,74.4859,-24.98,100,100,2.32,RU,1675632288
147,bengkulu,-3.8004,102.2655,23.27,88,98,3.2,ID,1675632289
148,bukoba,-1.3317,31.8122,20.72,66,72,1.28,TZ,1675632290
149,honningsvag,70.9821,25.9704,2.86,87,100,17.49,NO,1675632291
150,pagudpud,18.5616,120.7868,23.0,80,88,1.28,PH,1675632291
151,takab,36.4009,47.1133,-6.45,94,100,1.56,IR,1675632292
152,grand gaube,-20.0064,57.6608,26.88,78,57,2.68,MU,1675632182
153,flateby,59.8333,11.1667,-1.91,95,86,0.93,NO,1675632293
154,cedartown,34.0537,-85.255,17.16,57,69,4.13,US,1675632153
155,cabo san lucas,22.8909,-109.9124,27.56,40,0,4.12,MX,1675632294
156,coquimbo,-29.9533,-71.3436,23.85,53,0,6.17,CL,1675631982
157,mogadishu,2.0371,45.3438,24.94,83,10,8.94,SO,1675632119
158,sakakah,29.9697,40.2064,12.76,34,100,3.24,SA,1675632296
159,korla,41.7597,86.1469,-2.06,71,1,2.06,CN,1675632297
160,kavieng,-2.5744,150.7967,27.24,78,97,2.38,PG,1675632199
161,victoria,22.2855,114.1577,19.97,88,100,2.24,HK,1675632242
162,kodinsk,58.6881,99.1844,-17.58,100,100,1.32,RU,1675632299
163,sao filipe,14.8961,-24.4956,21.51,62,93,7.36,CV,1675632300
164,ko samui,9.5357,99.9357,26.47,76,42,3.43,TH,1675632301
165,kavarna,43.4333,28.3333,-3.4,87,100,12.26,BG,1675632303
166,westport,41.1415,-73.3579,7.64,57,0,0.0,US,1675632305
167,port elizabeth,-33.918,25.5701,25.05,93,75,6.17,ZA,1675632307
168,codrington,-38.2667,141.9667,14.84,78,41,1.69,AU,1675632308
169,bonito oriental,15.7477,-85.7356,27.79,85,81,1.54,HN,1675632310
170,nanortalik,60.1432,-45.2371,-7.04,89,100,9.99,GL,1675632250
171,adrar,20.5022,-10.0711,16.46,25,73,4.78,MR,1675632132
172,mareeba,-17.0,145.4333,24.4,97,70,0.96,AU,1675632175
173,san blas,21.5167,-105.2667,36.94,54,0,3.18,MX,1675632314
174,shakawe,-18.3667,21.85,21.37,87,100,0.84,BW,1675632317
175,ullapool,57.8987,-5.1604,5.27,84,100,4.39,GB,1675632319
176,tera,14.0078,0.7531,28.61,11,100,3.45,NE,1675632320
177,puerto ayora,-0.7393,-90.3518,29.98,88,29,3.58,EC,1675632284
178,baruun-urt,46.6806,113.2792,-21.23,93,36,1.95,MN,1675632326
179,saint george,37.1041,-113.5841,17.19,37,0,8.75,US,1675632058
180,iskateley,67.6803,53.1512,-16.64,99,98,2.97,RU,1675632328
181,faanui,-16.4833,-151.75,27.37,75,17,6.42,PF,1675632106
182,sitka,57.0531,-135.33,4.94,65,100,6.69,US,1675632329
183,chara,56.9064,118.2631,-24.03,86,97,0.74,RU,1675632330
184,vammala,61.3333,22.9,-0.79,88,77,3.4,FI,1675632331
185,pisco,-13.7,-76.2167,26.03,73,0,8.75,PE,1675632302
186,caravelas,-17.7125,-39.2481,26.35,78,0,4.93,BR,1675632332
187,berlevag,70.8578,29.0864,-2.0,80,75,7.2,NO,1675632333
188,ziarat,30.3823,67.7282,2.0,68,3,3.61,PK,1675632334
189,blois,47.5833,1.3333,5.21,76,14,5.26,FR,1675632334
190,clyde river,70.4692,-68.5914,-27.87,69,0,6.69,CA,1675632335
191,jumla,29.2747,82.1838,2.88,60,0,1.96,NP,1675632336
192,avarua,-21.2078,-159.775,28.03,83,75,6.69,CK,1675632337
193,egvekinot,66.3167,-179.1667,-29.77,88,100,5.08,RU,1675632337
194,talnakh,69.4865,88.3972,-14.33,97,99,1.56,RU,1675632290
195,berbera,10.4396,45.0143,23.75,66,100,2.01,SO,1675632339
196,benguela,-12.5763,13.4055,25.71,75,100,1.54,AO,1675632339
197,yellowknife,62.456,-114.3525,-21.36,77,100,4.12,CA,1675632166
198,najran,17.4924,44.1277,17.36,33,100,1.02,SA,1675632341
199,klyuchi,52.2667,79.1667,-10.42,96,100,2.19,RU,1675632341
200,kazachinskoye,57.6953,93.2761,-24.13,100,100,1.16,RU,1675632342
201,longyearbyen,78.2186,15.6401,-2.09,74,75,9.26,SJ,1675632343
202,tabas,33.5959,56.9244,6.12,52,0,2.06,IR,1675632344
203,paamiut,61.994,-49.6678,-8.89,83,100,9.5,GL,1675632345
204,san ignacio,17.1561,-89.0714,28.08,65,20,2.06,BZ,1675632346
205,hadejia,12.4498,10.0444,26.36,17,99,3.79,NG,1675632346
206,georgetown,5.4112,100.3354,24.97,99,20,0.0,MY,1675632295
207,labuhan,-6.8844,112.2051,25.35,85,100,2.94,ID,1675632348
208,ndele,8.4109,20.6473,24.99,16,24,2.01,CF,1675632348
209,rio grande,-32.035,-52.0986,26.06,71,11,5.8,BR,1675632349
210,alofi,-19.0595,-169.9187,25.94,83,99,3.09,NU,1675632350
211,upernavik,72.7868,-56.1549,-24.11,93,100,2.74,GL,1675632351
212,puerto del rosario,28.5004,-13.8627,16.86,67,0,5.14,ES,1675632352
213,san juan,-31.5375,-68.5364,36.8,14,0,3.29,AR,1675632353
214,udachnyy,66.4167,112.4,-39.66,100,97,0.8,RU,1675632353
215,chuy,-33.6971,-53.4616,22.89,63,0,4.84,UY,1675632279
216,mount gambier,-37.8333,140.7667,12.9,84,23,1.14,AU,1675632355
217,yambio,4.5721,28.3955,24.7,24,29,1.18,SS,1675632356
